CVS ID,STORE_NBR,LATITUDE,LONGITUDE,state_province,urbanicity,cap_category_name,parking_spaces_cnt,units_cnt,tenant_names,tenant_cnt,anchor_category
7612,201,40.022552,-77.23567,TX,small town,Neighborhood,496,21,"Chipotle,Verizon,T-Mobile,CVS",4,"Restaurant - Fast Casual,Wireless,Wireless,Pharmacy"
7606,202,34.054218,-121.779101,TX,small town,Power,948,35,"PetSmart,Ulta Beauty,Five Guys,CVS",4,"Pet Supplies,Beauty,Restaurant - Fast Casual,Pharmacy"
7775,203,34.249519,-85.148021,TX,small town,Neighborhood,295,59,"Panera Bread,AT&T,Sprint,CVS",4,"Bakery Cafe,Wireless,Wireless,Pharmacy"
7492,204,47.479556,-121.766379,CA,urban,Neighborhood,860,45,"Trader Joe's,Chick-fil-A,Barnes & Noble,CVS",4,"Grocery,Restaurant - Quick Service,Books,Pharmacy"
7393,205,35.163303,-91.594344,NY,urban,Power,647,27,"Subway,GameStop,Staples,CVS",4,"Restaurant - Quick Service,Video Games,Office Supplies,Pharmacy"
7998,206,38.933056,-74.574353,IL,urban,Power,624,32,"Chipotle,Verizon,T-Mobile,CVS",4,"Restaurant - Fast Casual,Wireless,Wireless,Pharmacy"
7216,207,30.717668,-102.469453,CA,suburban,Neighborhood,441,22,"PetSmart,Ulta Beauty,Five Guys,CVS",4,"Pet Supplies,Beauty,Restaurant - Fast Casual,Pharmacy"
7698,208,27.399637,-120.951338,IL,urban,Power,175,18,"Panera Bread,AT&T,Sprint,CVS",4,"Bakery Cafe,Wireless,Wireless,Pharmacy"
7454,209,47.963221,-85.424115,FL,small town,Community,466,25,"Trader Joe's,Chick-fil-A,Barnes & Noble,CVS",4,"Grocery,Restaurant - Quick Service,Books,Pharmacy"
7884,210,27.2009,-89.660867,FL,small town,Neighborhood,583,32,"Subway,GameStop,Staples,CVS",4,"Restaurant - Quick Service,Video Games,Office Supplies,Pharmacy"
7143,211,43.950835,-118.801252,TX,suburban,Power,497,40,"Chipotle,Verizon,T-Mobile,CVS",4,"Restaurant - Fast Casual,Wireless,Wireless,Pharmacy"
7633,212,35.596732,-73.400862,NY,small town,Community,850,21,"PetSmart,Ulta Beauty,Five Guys,CVS",4,"Pet Supplies,Beauty,Restaurant - Fast Casual,Pharmacy"
7008,213,43.276255,-88.76157,IL,suburban,Power,273,22,"Panera Bread,AT&T,Sprint,CVS",4,"Bakery Cafe,Wireless,Wireless,Pharmacy"
7167,214,26.746312,-77.153977,TX,suburban,Neighborhood,128,46,"Trader Joe's,Chick-fil-A,Barnes & Noble,CVS",4,"Grocery,Restaurant - Quick Service,Books,Pharmacy"
7421,215,48.67935,-102.666565,CA,suburban,Neighborhood,610,16,"Subway,GameStop,Staples,CVS",4,"Restaurant - Quick Service,Video Games,Office Supplies,Pharmacy"
7216,216,39.20533,-104.03756,FL,small town,Power,544,53,"Chipotle,Verizon,T-Mobile,CVS",4,"Restaurant - Fast Casual,Wireless,Wireless,Pharmacy"
7181,217,41.922025,-109.822723,NY,small town,Community,550,54,"PetSmart,Ulta Beauty,Five Guys,CVS",4,"Pet Supplies,Beauty,Restaurant - Fast Casual,Pharmacy"
7652,218,34.72485,-91.426038,FL,urban,Power,460,48,"Panera Bread,AT&T,Sprint,CVS",4,"Bakery Cafe,Wireless,Wireless,Pharmacy"
7000,219,41.344946,-110.462131,CA,small town,Neighborhood,508,42,"Trader Joe's,Chick-fil-A,Barnes & Noble,CVS",4,"Grocery,Restaurant - Quick Service,Books,Pharmacy"
7933,220,35.47206,-78.279773,IL,urban,Neighborhood,914,30,"Subway,GameStop,Staples,CVS",4,"Restaurant - Quick Service,Video Games,Office Supplies,Pharmacy"
