PRODUCT_ID,CATEGORY,NEED_STATE,CDT,ATTRIBUTE_1,ATTRIBUTE_2,ATTRIBUTE_3,ATTRIBUTE_4,ATTRIBUTE_5,ATTRIBUTE_6,PLANOGRAM_DSC,PLANOGRAM_NBR,NEW_ITEM,TO_BE_DROPPED
1000,Grocery,Convenience_0,Convenience_2,Toothpaste,Powder,Anti-aging,SPF30,,,ADULT CARE,1,FALSE,FALSE
1001,Grocery,Convenience_0,Convenience_3,Protein,Moisturizer,Fast-acting,Mint,,,ADULT CARE,1,FALSE,FALSE
1002,Grocery,Convenience_2,Convenience_1,Protein,Multi-surface,Fast-acting,Organic,GMO-free,,ADULT CARE,1,FALSE,FALSE
1003,Grocery,Convenience_2,Convenience_1,Skincare,Multi-surface,Fast-acting,Hypoallergenic,,,ADULT CARE,1,FALSE,TRUE
1004,Grocery,Convenience_2,Convenience_1,Diapers,Size 1,Fast-acting,SPF30,GMO-free,,ADULT CARE,1,TRUE,FALSE
1005,Grocery,Convenience_0,Convenience_1,Diapers,Gel,Fast-acting,Mint,GMO-free,,ADULT CARE,1,TRUE,FALSE
1006,Grocery,Convenience_2,Convenience_1,Protein,Gel,Sensitive,Mint,,,ADULT CARE,1,FALSE,FALSE
1007,Grocery,Convenience_3,Convenience_3,Pads,Gel,Anti-aging,,,,ADULT CARE,1,FALSE,FALSE
1008,Grocery,Convenience_0,Convenience_1,Cleaning,Regular,Smooth,SPF30,GMO-free,,ADULT CARE,1,FALSE,TRUE
1009,Grocery,Convenience_0,Convenience_2,Diapers,Size 1,Anti-aging,,,,ADULT CARE,1,FALSE,FALSE
1010,Grocery,Convenience_2,Convenience_2,Cleaning,Regular,Smooth,Mint,GMO-free,,ADULT CARE,1,FALSE,FALSE
1011,Grocery,Convenience_3,Convenience_1,Pain Relief,Gel,Fast-acting,SPF30,GMO-free,,ADULT CARE,1,FALSE,TRUE
1012,Grocery,Convenience_3,Convenience_3,Cleaning,Regular,Fast-acting,Mint,GMO-free,,ADULT CARE,1,FALSE,FALSE
1013,Grocery,Convenience_3,Convenience_3,Protein,Powder,Vanilla,Mint,GMO-free,,ADULT CARE,1,TRUE,TRUE
1014,Grocery,Convenience_1,Convenience_2,Cleaning,Size 1,Disinfectant,Mint,GMO-free,,ADULT CARE,1,FALSE,FALSE
1015,Beauty,Wellness_0,Wellness_1,Diapers,Size 1,Vanilla,SPF30,,,BEAUTY,4,FALSE,FALSE
1016,Beauty,Wellness_0,Wellness_1,Diapers,Multi-surface,Sensitive,Hypoallergenic,GMO-free,,BEAUTY,4,TRUE,FALSE
1017,Beauty,Wellness_1,Wellness_2,Skincare,Gel,Anti-aging,Hypoallergenic,GMO-free,,BEAUTY,4,TRUE,FALSE
1018,Beauty,Wellness_1,Wellness_3,Pads,Regular,Vanilla,Mint,,,BEAUTY,4,FALSE,FALSE
1019,Beauty,Wellness_1,Wellness_1,Protein,Powder,Disinfectant,SPF30,,,BEAUTY,4,FALSE,FALSE
1020,Beauty,Wellness_1,Wellness_3,Pain Relief,Regular,Anti-aging,SPF30,GMO-free,,BEAUTY,4,FALSE,FALSE
1021,Beauty,Wellness_0,Wellness_2,Cleaning,Multi-surface,Disinfectant,Mint,,,BEAUTY,4,TRUE,FALSE
1022,Beauty,Wellness_2,Wellness_1,Toothpaste,Moisturizer,Fast-acting,,,,BEAUTY,4,TRUE,FALSE
1023,Beauty,Wellness_3,Wellness_3,Diapers,Powder,Anti-aging,,,,BEAUTY,4,FALSE,FALSE
1024,Beauty,Wellness_3,Wellness_3,Pain Relief,Multi-surface,Vanilla,,,,BEAUTY,4,FALSE,FALSE
1025,Beauty,Wellness_3,Wellness_1,Pain Relief,Size 1,Sensitive,SPF30,,,BEAUTY,4,FALSE,FALSE
1026,Beauty,Wellness_3,Wellness_3,Cleaning,Size 1,Sensitive,Organic,GMO-free,,BEAUTY,4,FALSE,FALSE
1027,Beauty,Wellness_2,Wellness_3,Wipes,Size 1,Smooth,,GMO-free,,BEAUTY,4,FALSE,TRUE
1028,Beauty,Wellness_1,Wellness_2,Toothpaste,Moisturizer,Smooth,SPF30,,,BEAUTY,4,FALSE,FALSE
1029,Beauty,Wellness_3,Wellness_3,Pain Relief,Multi-surface,Vanilla,,,,BEAUTY,4,FALSE,FALSE
1030,Health,Health_3,Health_2,Cleaning,Multi-surface,Vanilla,Hypoallergenic,GMO-free,,MEDICATION,6,FALSE,TRUE
1031,Health,Health_2,Health_1,Diapers,Multi-surface,Disinfectant,Mint,,,MEDICATION,6,FALSE,TRUE
1032,Health,Health_2,Health_3,Protein,Gel,Disinfectant,Organic,,,MEDICATION,6,TRUE,FALSE
1033,Health,Health_3,Health_2,Cleaning,Size 1,Disinfectant,Hypoallergenic,GMO-free,,MEDICATION,6,FALSE,FALSE
1034,Health,Health_0,Health_3,Toothpaste,Powder,Disinfectant,,,,MEDICATION,6,FALSE,FALSE
1035,Health,Health_2,Health_3,Cleaning,Gel,Anti-aging,SPF30,GMO-free,,MEDICATION,6,FALSE,FALSE
1036,Health,Health_0,Health_3,Protein,Powder,Vanilla,SPF30,,,MEDICATION,6,FALSE,FALSE
1037,Health,Health_1,Health_3,Wipes,Multi-surface,Disinfectant,Mint,GMO-free,,MEDICATION,6,FALSE,FALSE
1038,Health,Health_0,Health_1,Protein,Gel,Sensitive,Hypoallergenic,GMO-free,,MEDICATION,6,TRUE,TRUE
1039,Health,Health_1,Health_2,Skincare,Multi-surface,Smooth,Organic,GMO-free,,MEDICATION,6,FALSE,TRUE
1040,Health,Health_2,Health_2,Diapers,Powder,Fast-acting,,,,MEDICATION,6,TRUE,FALSE
1041,Health,Health_1,Health_1,Protein,Multi-surface,Sensitive,Mint,,,MEDICATION,6,FALSE,FALSE
1042,Health,Health_0,Health_1,Protein,Multi-surface,Smooth,Mint,,,MEDICATION,6,TRUE,FALSE
1043,Health,Health_3,Health_1,Protein,Gel,Disinfectant,Mint,,,MEDICATION,6,FALSE,FALSE
1044,Health,Health_2,Health_3,Protein,Multi-surface,Sensitive,Hypoallergenic,GMO-free,,MEDICATION,6,FALSE,TRUE
1045,Beverages,Convenience_0,Convenience_3,Protein,Size 1,Sensitive,Organic,GMO-free,,HOME CARE,7,FALSE,FALSE
1046,Beverages,Convenience_2,Convenience_3,Toothpaste,Size 1,Vanilla,Mint,,,HOME CARE,7,FALSE,FALSE
1047,Beverages,Convenience_1,Convenience_2,Protein,Multi-surface,Smooth,,,,HOME CARE,7,FALSE,FALSE
1048,Beverages,Convenience_2,Convenience_2,Skincare,Regular,Vanilla,Organic,GMO-free,,HOME CARE,7,FALSE,FALSE
1049,Beverages,Convenience_0,Convenience_1,Pads,Size 1,Fast-acting,Mint,GMO-free,,HOME CARE,7,FALSE,FALSE
1050,Beverages,Convenience_2,Convenience_1,Pads,Gel,Fast-acting,Hypoallergenic,,,HOME CARE,7,FALSE,TRUE
1051,Beverages,Convenience_1,Convenience_1,Pads,Size 1,Disinfectant,Hypoallergenic,GMO-free,,HOME CARE,7,FALSE,FALSE
1052,Beverages,Convenience_1,Convenience_1,Diapers,Size 1,Sensitive,Organic,GMO-free,,HOME CARE,7,FALSE,FALSE
1053,Beverages,Convenience_2,Convenience_2,Protein,Powder,Sensitive,Organic,,,HOME CARE,7,FALSE,FALSE
1054,Beverages,Convenience_3,Convenience_3,Skincare,Moisturizer,Sensitive,Mint,,,HOME CARE,7,FALSE,TRUE
1055,Beverages,Convenience_3,Convenience_1,Pain Relief,Multi-surface,Anti-aging,Mint,,,HOME CARE,7,FALSE,FALSE
1056,Beverages,Convenience_1,Convenience_2,Pads,Size 1,Smooth,Organic,,,HOME CARE,7,FALSE,FALSE
1057,Beverages,Convenience_2,Convenience_2,Pain Relief,Moisturizer,Smooth,Organic,,,HOME CARE,7,TRUE,FALSE
1058,Beverages,Convenience_2,Convenience_2,Cleaning,Moisturizer,Anti-aging,SPF30,,,HOME CARE,7,FALSE,FALSE
