SKU_NBR,STORE_NBR,CAT_DSC,TOTAL_SALES
1000,101,Grocery,1179.85
1001,101,Grocery,724.16
1002,101,Grocery,9593.71
1003,101,Grocery,8502.0
1004,101,Grocery,3678.07
1005,101,Grocery,9576.65
1006,101,Grocery,6832.35
1007,101,Grocery,4928.71
1008,101,Grocery,5031.65
1009,101,Grocery,1016.19
1010,101,Grocery,1098.7
1011,101,Grocery,6103.92
1012,101,Grocery,5626.29
1013,101,Grocery,2284.73
1014,101,Grocery,9472.71
1015,101,Beauty,7856.7
1016,101,Beauty,1311.95
1017,101,Beauty,9323.11
1018,101,Beauty,9747.63
1019,101,Beauty,9960.13
1020,101,Beauty,747.54
1021,101,Beauty,7422.95
1022,101,Beauty,5549.97
1023,101,Beauty,7117.15
1024,101,Beauty,9692.79
1025,101,Beauty,6942.69
1026,101,Beauty,8402.25
1027,101,Beauty,8695.31
1028,101,Beauty,8417.11
1029,101,Beauty,4375.7
1030,101,Health,2381.25
1031,101,Health,4087.19
1032,101,Health,8940.59
1033,101,Health,1636.73
1034,101,Health,5230.6
1035,101,Health,2485.64
1036,101,Health,5896.79
1037,101,Health,8658.76
1038,101,Health,8827.53
1039,101,Health,2519.51
1040,101,Health,9095.4
1041,101,Health,6000.51
1042,101,Health,3632.14
1043,101,Health,7140.18
1044,101,Health,4920.34
1045,101,Beverages,3904.28
1046,101,Beverages,7109.83
1047,101,Beverages,2637.5
1048,101,Beverages,3436.47
1049,101,Beverages,4457.63
1050,101,Beverages,2686.09
1051,101,Beverages,4170.98
1052,101,Beverages,5800.44
1053,101,Beverages,7461.54
1054,101,Beverages,7718.51
1055,101,Beverages,8263.35
1056,101,Beverages,7493.27
1057,101,Beverages,6874.19
1058,101,Beverages,2527.56
1059,101,Beverages,4122.18
1060,102,Grocery,4881.61
1061,102,Grocery,1012.33
1062,102,Grocery,5378.03
1063,102,Grocery,4476.09
1064,102,Grocery,8060.67
1065,102,Grocery,9783.43
1066,102,Grocery,5648.85
1067,102,Grocery,3362.33
1068,102,Grocery,625.33
1069,102,Grocery,9261.5
1070,102,Grocery,9207.33
1071,102,Grocery,2679.3
1072,102,Grocery,7015.03
1073,102,Grocery,939.26
1074,102,Grocery,1828.91
1075,102,Beauty,2324.73
1076,102,Beauty,3086.04
1077,102,Beauty,9959.15
1078,102,Beauty,7029.87
1079,102,Beauty,3965.18
1080,102,Beauty,7423.59
1081,102,Beauty,9169.49
1082,102,Beauty,9595.28
1083,102,Beauty,767.07
1084,102,Beauty,4066.31
1085,102,Beauty,1246.21
1086,102,Beauty,3489.47
1087,102,Beauty,1862.86
1088,102,Beauty,6539.11
1089,102,Beauty,4005.03
1090,102,Health,2448.07
1091,102,Health,2806.19
1092,102,Health,3731.38
1093,102,Health,2747.51
1094,102,Health,4641.76
1095,102,Health,516.7
1096,102,Health,2941.68
1097,102,Health,4229.83
1098,102,Health,6107.26
1099,102,Health,2855.38
1100,102,Health,1505.21
1101,102,Health,946.76
1102,102,Health,9417.21
1103,102,Health,4283.06
1104,102,Health,5895.39
1105,102,Beverages,9207.93
1106,102,Beverages,1010.93
1107,102,Beverages,8791.28
1108,102,Beverages,5605.56
1109,102,Beverages,1815.38
1110,102,Beverages,4230.3
1111,102,Beverages,7820.5
1112,102,Beverages,4907.63
1113,102,Beverages,9855.8
1114,102,Beverages,3892.04
1115,102,Beverages,7545.87
1116,102,Beverages,4051.3
1117,102,Beverages,8325.81
1118,102,Beverages,5777.0
1119,102,Beverages,822.42
1120,103,Grocery,560.85
1121,103,Grocery,1511.75
1122,103,Grocery,333.99
1123,103,Grocery,938.52
1124,103,Grocery,6978.8
1125,103,Grocery,5436.59
1126,103,Grocery,7549.13
1127,103,Grocery,9149.02
1128,103,Grocery,5934.47
1129,103,Grocery,7315.98
1130,103,Grocery,7619.4
1131,103,Grocery,3902.94
1132,103,Grocery,2562.63
1133,103,Grocery,2209.44
1134,103,Grocery,2664.14
1135,103,Beauty,2892.37
1136,103,Beauty,2230.83
1137,103,Beauty,8806.56
1138,103,Beauty,7618.59
1139,103,Beauty,659.59
1140,103,Beauty,2832.99
1141,103,Beauty,417.41
1142,103,Beauty,5082.02
1143,103,Beauty,4866.86
1144,103,Beauty,8347.44
1145,103,Beauty,3216.22
1146,103,Beauty,8200.58
1147,103,Beauty,9686.14
1148,103,Beauty,1066.4
1149,103,Beauty,7959.81
1150,103,Health,5981.57
1151,103,Health,4904.45
1152,103,Health,4321.25
1153,103,Health,7889.75
1154,103,Health,6465.74
1155,103,Health,8089.44
1156,103,Health,9050.88
1157,103,Health,6249.18
1158,103,Health,9808.53
1159,103,Health,6159.26
1160,103,Health,6439.11
1161,103,Health,5637.19
1162,103,Health,1091.82
1163,103,Health,7318.69
1164,103,Health,5564.97
1165,103,Beverages,4618.92
1166,103,Beverages,9122.62
1167,103,Beverages,3120.0
1168,103,Beverages,5331.3
1169,103,Beverages,7036.89
1170,103,Beverages,8005.42
1171,103,Beverages,4701.6
1172,103,Beverages,8452.5
1173,103,Beverages,7735.39
1174,103,Beverages,849.11
1175,103,Beverages,649.44
1176,103,Beverages,6283.9
1177,103,Beverages,3604.65
1178,103,Beverages,2249.48
1179,103,Beverages,5880.57
